week,더불어민주당,국민의힘,조국혁신당,개혁신당,진보당,무당층
8월 2주,41,22,3,3,1,28
8월 3주,44,25,4,3,0,22
8월 4주,44,23,2,3,1,25
9월 1주,41,24,4,3,1,25
9월 2주,42,24,2,3,1,26
9월 3주,41,24,2,3,1,28
9월 4주,38,24,3,3,1,30
10월 1주,,,,,,
10월 2주,,,,,,
10월 3주,39,25,3,3,1,28
10월 4주,43,25,3,2,1,25
10월 5주,41,26,3,3,2,26
11월 1주,40,26,4,4,1,24
11월 2주,42,24,2,3,1,27
11월 3주,43,24,3,3,1,26
11월 4주,42,24,3,3,1,26
12월 1주,43,24,3,2,1,24
12월 2주,40,26,3,4,1,26
12월 3주,40,26,3,4,1,26
12월 4주,,,,,,
1월 1주,,,,,,
1월 2주,45,26,3,3,1,21
1월 3주,41,24,4,2,1,26
