id,1st,2nd,3rd,wt
119,2,1,1,1.40000000000000 
423,2,1,2,0.77777777777778 
3590,1,4,4,0.71264367816092 
3139,1,3,3,0.81481481481482 
273,2,1,2,1.11111111111111 
2332,1,4,4,0.70370370370370 
3574,6,3,3,1.12068965517241 
1034,2,3,3,0.71264367816092 
3964,1,3,3,0.71264367816092 
3226,1,4,4,0.93650793650794 
646,1,3,3,0.77777777777778 
2328,6,4,4,0.78260869565217 
1879,6,4,4,1.43243243243243 
1677,5,2,2,1.06250000000000 
4082,1,4,4,0.66000000000000 
2381,6,4,9,2.50000000000000 
2211,5,1,1,1.03030303030303 
3358,1,3,3,0.82608695652174 
3106,2,2,2,0.97297297297297 
3540,1,4,3,0.73333333333333 
849,1,4,3,0.73809523809524 
669,1,4,4,0.88571428571429 
3408,1,4,4,0.70370370370370 
1200,1,4,4,1.12068965517241 
2031,1,3,2,0.73809523809524 
3495,2,3,2,0.96774193548387 
4068,1,4,4,0.93650793650794 
3996,1,3,3,0.75757575757576 
2096,5,3,2,1.06250000000000 
1926,1,4,4,0.96774193548387 
3790,3,9,2,2.50000000000000 
2293,1,4,4,1.43243243243243 
3550,1,4,4,0.66000000000000 
3279,2,1,1,1.10000000000000 
733,1,3,3,1.30769230769230 
1174,2,1,2,0.96774193548387 
1636,2,3,3,1.06250000000000 
807,1,1,4,1.00000000000000 
3542,1,4,4,0.93333333333333 
1251,2,2,1,1.43243243243243 
720,4,1,1,0.93650793650794 
3227,4,1,1,0.93650793650794 
3409,1,9,3,0.82608695652174 
771,1,4,4,0.71264367816092 
1753,5,1,1,0.90410958904110 
572,3,2,2,1.40000000000000 
292,5,1,1,1.25000000000000 
3296,1,3,3,1.75000000000000 
4027,1,4,4,0.71264367816092 
1577,1,3,3,0.88571428571429 
3228,1,3,2,0.69230769230769 
3539,3,3,2,0.77777777777778 
309,1,4,4,0.70212765957447 
989,1,4,4,1.10000000000000 
2089,1,4,3,0.70212765957447 
3234,1,3,9,1.38461538461538 
3892,1,4,3,0.93333333333333 
1541,1,3,4,0.70370370370370 
3369,1,4,4,0.77777777777778 
1477,1,4,4,0.93650793650794 
1823,5,2,2,1.25000000000000 
789,1,3,3,0.70370370370370 
294,1,3,3,0.66000000000000 
3642,6,9,3,0.90410958904110 
3416,2,1,1,1.06250000000000 
27,1,4,4,0.94117647058824 
3016,1,3,3,1.50000000000000 
690,1,3,3,0.82608695652174 
3874,2,2,2,1.30769230769230 
865,1,3,4,0.78571428571429 
794,1,3,3,0.96774193548387 
3533,4,3,3,0.84848484848485 
1780,3,3,2,1.20000000000000 
1993,1,4,1,0.70212765957447 
2970,1,4,4,1.40000000000000 
536,1,4,4,0.70212765957447 
2209,1,3,3,1.03030303030303 
1170,5,4,2,0.93333333333333 
3462,1,4,4,0.88571428571429 
206,5,9,3,0.69230769230769 
1596,3,4,4,0.86956521739130 
769,2,1,1,0.68750000000000 
317,1,4,3,0.70212765957447 
1767,1,4,4,0.93650793650794 
3883,5,3,4,1.06250000000000 
1720,2,4,4,0.93333333333333 
3251,1,3,3,0.68085106382979 
877,1,3,2,1.50000000000000 
3133,1,4,4,1.43243243243243 
666,3,3,3,2.50000000000000 
1032,1,3,3,0.73333333333333 
3276,1,3,3,0.93333333333333 
4595,1,3,4,0.75757575757576 
453,2,1,1,0.75757575757576 
1907,1,3,3,0.70212765957447 
2018,1,3,3,0.71264367816092 
3780,1,4,4,0.66000000000000 
1341,1,4,4,0.82608695652174 
4201,5,1,1,0.77777777777778 
1787,1,3,3,0.93333333333333 
4325,6,3,3,0.73809523809524 
814,1,4,4,0.78260869565217 
3253,1,3,3,1.03030303030303 
2203,3,3,3,0.94117647058824 
1553,2,9,1,0.93333333333333 
148,1,4,4,0.86956521739130 
1580,1,4,4,1.11111111111111 
437,3,3,4,0.88571428571429 
1555,3,1,1,0.66000000000000 
3493,6,9,4,1.03030303030303 
1239,1,3,4,0.68085106382979 
1453,6,3,2,0.93333333333333 
857,1,4,4,0.70212765957447 
3190,2,1,2,0.96774193548387 
4258,2,1,1,0.90410958904110 
1235,1,3,4,0.88888888888889 
3285,1,4,4,0.90410958904110 
3555,1,4,4,0.92857142857143 
